Province,Year,prop_homeowners,prop_working,prop_school_absentees,prop_toilet_access,gdp,population,land_area,num_rainy_days,target: energy_generation
SULAWESI TENGAH,2018,84.32,89.25,2.09,66.38,167135.77,1359.2,11257.07,,1814.04
SULAWESI SELATAN,2018,83.61,82.75,5.65,81.53,461774.74,2663.7,61841.29,,7344.21
SULAWESI TENGGARA,2018,84.43,88.75,3.56,74.99,118066.61,4362.0,46717.48,,1181.79
GORONTALO,2018,79.48,90.83,1.04,52.42,37731.39,5152.4,16787.18,,592.68
SULAWESI BARAT,2018,86.85,90.76,4.9,63.48,43457.83,5437.2,38067.7,,249.45
MALUKU,2018,80.09,87.44,1.13,68.02,43047.09,1768.5,46914.03,,969.89
MALUKU UTARA,2018,83.87,91.15,1.55,61.98,36468.79,1235.7,31982.5,,377.04
PAPUA BARAT,2018,69.19,90.43,3.11,72.03,79644.58,963.6,319036.05,,677.34
PAPUA,2018,81.36,94.73,26.46,57.53,210600.57,3347.1,99671.63,,1360.61
INDONESIA,2018,80.02,86.85,3.96,79.35,14838756.0,266911.9,1913578.68,,289474.49
